# split	class	original	candidates	expected
train	punctuation_order	сигнал: маркер проверяем	сигнал: однако проверяем|сигнал: поэтому проверяем	сигнал: поэтому проверяем
heldout	punctuation_order	контур, маркер активен	контур, однако активен|контур, поэтому активен	контур, однако активен
heldout	punctuation_order	пакет, маркер загружен	пакет, однако загружен|пакет, поэтому загружен	пакет, однако загружен
heldout	punctuation_order	контур: маркер перезапускаем	контур: однако перезапускаем|контур: поэтому перезапускаем	контур: поэтому перезапускаем
heldout	punctuation_order	пакет: маркер проверяем	пакет: однако проверяем|пакет: поэтому проверяем	пакет: поэтому проверяем
heldout	ambiguity	посмот	посмотреть|посмотри	-
heldout	ambiguity	кодд	коде|код	-
heldout	ambiguity	логг	лог|логи	-
heldout	ambiguity	х	и|в	-
heldout	ambiguity	маркер	однако|поэтому	-
